id,MolWt,HeavyAtomCount,TPSA,MolLogP,NumRotatableBonds,FractionCSP3,RingCount,NHOHCount,NOCount,LabuteASA
87817,232.3229999999999,17,26.3,3.981700000000004,8,0.5333333333333333,1,0,2,103.99094947861708
106919,598.9190000000003,45,24.06,12.35959999999998,16,0.4418604651162791,5,2,2,273.2105361517208
388772,1003.2069999999997,73,122.27,14.216999999999969,15,0.1451612903225806,10,0,9,426.096572096404
519416,542.7260000000002,42,24.06,11.00767999999999,7,0.1,6,2,2,248.856424001429
539187,965.1539999999994,70,182.28,11.844999999999986,34,0.5185185185185185,6,0,16,411.0499097477528
950661,312.362,22,71.06000000000002,2.1619,10,0.875,2,0,6,130.65963407752443
1012066,240.35,18,24.06,3.9787000000000026,3,0.625,5,2,2,108.7431121969008
1022104,1163.2959999999991,88,169.87999999999997,16.004799999999964,15,0.1891891891891892,14,2,14,508.200548514208
1722264,474.5970000000001,35,61.83,7.407200000000008,15,0.4,3,0,5,207.94303134745684
2265305,258.324,20,24.06,4.773000000000002,4,0.0,3,2,2,118.22537292565048
2986007,458.6490000000003,35,47.58,7.697660000000008,13,0.3939393939393939,4,0,2,210.79905145698237
3013292,192.17,14,74.6,1.641,4,0.2,1,2,4,80.80268328156296
3053950,524.4880000000004,40,93.22,5.459900000000004,5,0.0,7,0,8,226.91533113295245
3128201,692.6830000000003,53,125.97,6.204700000000008,9,0.0227272727272727,8,0,9,302.2750707986446
3139746,236.223,17,61.83,1.4487,7,0.3333333333333333,1,0,5,98.96542421717396
3254580,238.334,18,24.06,3.841040000000002,5,0.25,2,2,2,108.62804717717286
4600132,182.226,14,24.06,3.1060000000000008,3,0.0,2,2,2,83.16827871958644
4658296,756.6910000000001,55,110.8,10.031699999999994,8,0.0222222222222222,9,2,8,317.0495602481757
4834929,234.302,18,24.06,3.8100000000000014,2,0.25,5,2,2,106.6163848701144
5118841,231.33899999999997,17,20.31,4.007300000000003,9,0.5333333333333333,1,0,2,104.42726643271828
5350166,302.327,21,113.96000000000002,1.522,11,0.7692307692307693,0,3,8,123.4048598018352
5650517,453.4910000000003,33,108.0,2.9045000000000014,14,0.36,2,1,8,192.45001960770975
5661484,556.6030000000002,41,104.16,5.367200000000005,8,0.0,6,0,8,236.4164084828081
5709902,246.30999999999997,18,58.2,2.917800000000001,9,0.4285714285714285,1,2,4,107.56373711537816
5724071,359.38900000000007,27,95.15,3.0768000000000013,5,0.05,3,4,7,156.1725873036857
5857263,642.6230000000004,49,102.45,7.766000000000008,8,0.0,8,0,9,279.46140024285216
5905810,358.52600000000007,26,58.2,4.142980000000003,11,0.6363636363636364,1,2,4,158.48327403055103
5966923,225.313,15,38.33,1.1661,6,0.5454545454545454,1,1,3,94.4512907038434
6019988,274.364,20,58.2,2.6305000000000005,8,0.5,1,2,4,120.29362134417136
6102563,381.34000000000015,28,99.21,1.5211,8,0.2,3,0,8,160.14876084610373
6259923,296.33000000000004,22,105.56,1.596,4,0.125,3,7,6,127.5201733671877
6645418,212.293,15,58.2,1.3813999999999995,10,0.8181818181818182,0,2,4,91.60146925250392
6665789,340.38200000000006,26,58.2,4.6750000000000025,6,0.0,3,2,4,151.52855403773546
7586800,1141.274,86,151.41999999999996,16.435899999999968,15,0.0410958904109589,13,2,12,498.7311399399586
7687820,452.7280000000002,32,82.26,6.818700000000005,25,0.9230769230769232,0,4,6,198.1753253356692
8689461,252.4859999999999,18,0.0,7.163200000000007,16,1.0,0,0,0,116.94326697257192
8973725,112.21599999999998,8,0.0,3.118100000000002,4,1.0,0,0,0,53.29384582860581
